date,S&P500,NASDAQ100
2020-12-14,13115,
2020-12-15,13070,
2020-12-16,13189,
2020-12-17,13176,
2020-12-18,13228,
2020-12-21,13210,
2020-12-22,13151,
2020-12-23,13164,
2020-12-24,13172,
2020-12-25,13200,
2020-12-28,13218,
2020-12-29,13359,
2020-12-30,13288,
2021-01-04,13339,
2021-01-05,13152,
2021-01-06,13186,
2021-01-07,13301,
2021-01-08,13613,
2021-01-12,13650,
2021-01-13,13583,
2021-01-14,13650,
2021-01-15,13586,
2021-01-18,13486,
2021-01-19,13475,
2021-01-20,13609,
2021-01-21,13756,
2021-01-22,13751,
2021-01-25,13751,
2021-01-26,13792,
2021-01-27,13759,
2021-01-28,13482,
2021-01-29,13641,10000.0
2021-02-01,13407,9998.0
2021-02-02,13648,10261.0
2021-02-03,13854,10431.0
2021-02-04,13870,10389.0
2021-02-05,14090,10563.0
2021-02-08,14146,10597.0
2021-02-09,14202,10631.0
2021-02-10,14113,10569.0
2021-02-12,14151,10618.0
2021-02-15,14269,10712.0
2021-02-16,14319,10750.0
2021-02-17,14405,10792.0
2021-02-18,14344,10693.0
2021-02-19,14278,10643.0
2021-02-22,14223,10577.0
2021-02-24,14119,10269.0
2021-02-25,14368,10416.0
2021-02-26,14043,10064.0
2021-03-01,14010,10150.0
2021-03-02,14394,10478.0
2021-03-03,14266,10293.0
2021-03-04,14108,10018.0
2021-03-05,14039,9929.0
2021-03-08,14375,10136.0
2021-03-09,14399,9909.0
2021-03-10,14529,10255.0
2021-03-11,14610,10216.0
2021-03-12,14775,10465.0
2021-03-15,14855,10417.0
2021-03-16,14978,10552.0
2021-03-17,14939,10598.0
2021-03-18,14959,10621.0
2021-03-19,14757,10302.0
2021-03-22,14722,10346.0
2021-03-23,14819,10517.0
2021-03-24,14677,10441.0
2021-03-25,14630,10288.0
2021-03-26,14765,10314.0
2021-03-29,15054,10503.0
2021-03-30,15072,10514.0
2021-03-31,15142,10539.0
2021-04-01,15217,10712.0
2021-04-02,15371,10887.0
2021-04-05,15368,10885.0
2021-04-06,15542,11071.0
2021-04-07,15461,11009.0
2021-04-08,15486,11041.0
2021-04-09,15481,11102.0
2021-04-12,15663,11216.0
2021-04-13,15636,11178.0
2021-04-14,15583,11238.0
2021-04-15,15529,11098.0
2021-04-16,15675,11255.0
2021-04-19,15722,11262.0
2021-04-20,15573,11107.0
2021-04-21,15449,11016.0
2021-04-22,15589,11113.0
2021-04-23,15431,10964.0
2021-04-26,15592,11101.0
2021-04-27,15659,11196.0
2021-04-28,15767,11223.0
2021-04-30,15861,11230.0
2021-05-06,15754,10896.0
2021-05-07,15859,10968.0
2021-05-10,15922,11016.0
2021-05-11,15789,10749.0
2021-05-12,15625,10722.0
2021-05-13,15408,10522.0
2021-05-14,15598,10608.0
2021-05-17,15805,10821.0
2021-05-18,15732,10734.0
2021-05-19,15569,10636.0
2021-05-20,15560,10679.0
2021-05-21,15675,10850.0
2021-05-24,15675,10791.0
2021-05-25,15813,10962.0
2021-05-26,15765,10965.0
2021-05-27,15854,11043.0
2021-05-28,15992,11090.0
2021-05-31,15975,11090.0
2021-06-01,15924,11055.0
2021-06-02,15951,11053.0
2021-06-03,15967,11065.0
2021-06-04,16011,11017.0
2021-06-07,16049,11140.0
2021-06-08,16018,11153.0
2021-06-09,16023,11160.0
2021-06-10,16022,11183.0
2021-06-11,16069,11281.0
2021-06-14,16152,11347.0
2021-06-15,16230,11485.0
2021-06-16,16204,11410.0
2021-06-17,16209,11437.0
2021-06-18,16135,11536.0
2021-06-21,15912,11434.0
2021-06-22,16140,11510.0
2021-06-23,16291,11666.0
2021-06-24,16320,11703.0
2021-06-25,16406,11770.0
2021-06-28,16416,11722.0
2021-06-29,16429,11849.0
2021-06-30,16444,11895.0
2021-07-01,16540,11935.0
2021-07-02,16714,12001.0
2021-07-05,16766,12085.0
2021-07-06,16722,12054.0
2021-07-07,16627,12058.0
2021-07-08,16701,12089.0
2021-07-09,16462,11946.0
2021-07-12,16686,12057.0
2021-07-13,16778,12124.0
2021-07-14,16760,12150.0
2021-07-15,16669,12090.0
2021-07-16,16612,12002.0
2021-07-19,16482,11907.0
2021-07-20,16175,11766.0
2021-07-21,16482,11956.0
2021-07-26,16908,12329.0
2021-07-27,16903,12308.0
2021-07-28,16764,12128.0
2021-07-29,16741,12163.0
2021-07-30,16777,12161.0
2021-08-02,16712,12107.0
2021-08-03,16632,12074.0
2021-08-04,16728,12123.0
2021-08-05,16741,12207.0
2021-08-06,16878,12313.0
2021-08-10,16966,12328.0
2021-08-11,17033,12299.0
