date,TOPIX,NASDAQ100,S&P500
2018-10-29,10648,,9916.0
2018-10-30,10796,,9898.0
2018-10-31,11028,,10121.0
2018-11-01,10932,,10188.0
2018-11-02,11113,,10303.0
2018-11-05,10989,,10272.0
2018-11-06,11118,,10330.0
2018-11-07,11071,,10387.0
2018-11-08,11264,,10652.0
2018-11-09,11208,,10667.0
2018-11-12,11201,,10561.0
2018-11-13,10976,,10328.0
2018-11-14,10996,,10339.0
2018-11-15,10980,,10238.0
2018-11-16,10916,,10349.0
2018-11-19,10971,,10288.0
2018-11-20,10892,,10112.0
2018-11-21,10827,,9949.0
2018-11-22,10915,,9996.0
2018-11-26,10936,,9927.0
2018-11-27,11017,,10124.0
2018-11-28,11081,,10182.0
2018-11-29,11119,,10402.0
2018-11-30,11173,,10368.0
2018-12-03,11318,,10468.0
2018-12-04,11050,,10580.0
2018-12-05,10992,,10173.0
2018-12-06,10791,,10178.0
2018-12-07,10857,,10151.0
2018-12-10,10652,,9893.0
2018-12-11,10555,,9964.0
2018-12-12,10765,,9998.0
2018-12-13,10832,,10041.0
2018-12-14,10667,,10057.0
2018-12-17,10681,,9854.0
2018-12-18,10469,,9593.0
2018-12-19,10425,,9566.0
2018-12-20,10163,,9429.0
2018-12-21,9969,,9183.0
2018-12-25,9482,,8645.0
2018-12-26,9606,,8693.0
2018-12-27,10076,,9162.0
2018-12-28,10026,,9231.0
2019-01-04,9872,,8809.0
2019-01-07,10150,,9184.0
2019-01-08,10190,,9272.0
2019-01-09,10301,,9354.0
2019-01-10,10213,,9350.0
2019-01-11,10265,,9416.0
2019-01-15,10352,,9360.0
2019-01-16,10319,,9463.0
2019-01-17,10354,,9531.0
2019-01-18,10452,,9641.0
2019-01-21,10510,,9794.0
2019-01-22,10443,,9796.0
2019-01-23,10380,,9640.0
2019-01-24,10418,,9665.0
2019-01-25,10508,,9698.0
2019-01-28,10437,,9744.0
2019-01-29,10449,,9653.0
2019-01-30,10406,,9660.0
2019-01-31,10518,,9770.0
2019-02-01,10499,,9854.0
2019-02-04,10611,,9917.0
2019-02-05,10621,,10029.0
2019-02-06,10616,,10059.0
2019-02-07,10528,,10047.0
2019-02-08,10329,,9945.0
2019-02-12,10552,,10026.0
2019-02-13,10664,,10156.0
2019-02-14,10667,,10227.0
2019-02-15,10583,,10153.0
2019-02-18,10750,,10274.0
2019-02-19,10780,,10273.0
2019-02-20,10826,,10309.0
2019-02-21,10826,,10325.0
2019-02-22,10799,,10296.0
2019-02-25,10876,,10363.0
2019-02-26,10855,,10398.0
2019-02-27,10876,,10350.0
2019-02-28,10790,,10372.0
2019-03-01,10844,,10408.0
2019-03-04,10924,,10526.0
2019-03-05,10868,,10474.0
2019-03-06,10841,,10447.0
2019-03-07,10749,,10373.0
2019-03-08,10553,,10282.0
2019-03-11,10614,,10203.0
2019-03-12,10775,,10401.0
2019-03-13,10685,,10415.0
2019-03-14,10660,,10488.0
2019-03-15,10756,,10543.0
2019-03-18,10830,,10562.0
2019-03-19,10807,,10578.0
2019-03-20,10835,,10608.0
2019-03-22,10852,,10604.0
2019-03-25,10586,,10326.0
2019-03-26,10857,,10346.0
2019-03-27,10918,,10450.0
2019-03-28,10738,,10386.0
2019-03-29,10797,,10484.0
2019-04-01,10960,,10565.0
2019-04-02,10932,,10721.0
2019-04-03,11001,,10728.0
2019-04-04,10989,,10754.0
2019-04-05,11028,,10804.0
2019-04-08,10990,,10818.0
2019-04-09,10980,,10827.0
2019-04-10,10905,,10743.0
2019-04-11,10897,,10773.0
2019-04-12,10890,,10840.0
2019-04-15,11042,,10934.0
2019-04-16,11032,,10925.0
2019-04-17,11061,,10944.0
2019-04-18,10955,,10910.0
2019-04-19,10967,,10925.0
2019-04-22,10979,,10923.0
2019-04-23,11008,,10922.0
2019-04-24,10934,,11027.0
2019-04-25,10992,,11035.0
2019-04-26,10975,,10989.0
2019-05-07,10853,,10900.0
2019-05-08,10666,,10675.0
2019-05-09,10520,,10640.0
2019-05-10,10511,,10595.0
2019-05-13,10456,,10626.0
2019-05-14,10414,,10340.0
2019-05-15,10477,,10443.0
2019-05-16,10433,,10495.0
2019-05-17,10547,,10638.0
2019-05-20,10550,,10593.0
2019-05-21,10519,,10522.0
2019-05-22,10491,,10646.0
2019-05-23,10453,,10591.0
2019-05-24,10458,,10416.0
2019-05-27,10497,,10408.0
2019-05-28,10524,,10415.0
2019-05-29,10425,,10300.0
2019-05-30,10395,,10260.0
2019-05-31,10261,,10259.0
2019-06-03,10170,,10031.0
2019-06-04,10171,,9966.0
2019-06-05,10381,,10198.0
2019-06-06,10346,,10308.0
2019-06-07,10398,,10385.0
2019-06-10,10537,,10495.0
2019-06-11,10594,,10543.0
2019-06-12,10545,,10548.0
2019-06-13,10458,,10519.0
2019-06-14,10494,,10557.0
2019-06-17,10447,,10563.0
2019-06-18,10372,,10565.0
2019-06-19,10552,,10662.0
2019-06-20,10583,,10622.0
2019-06-21,10488,,10684.0
2019-06-24,10501,,10673.0
2019-06-25,10472,,10641.0
2019-06-26,10425,,10545.0
2019-06-27,10553,,10570.0
2019-06-28,10540,,10619.0
2019-07-01,10769,,10725.0
2019-07-02,10802,,10830.0
2019-07-03,10732,,10785.0
2019-07-04,10801,,10881.0
2019-07-05,10820,,10891.0
2019-07-08,10724,,10935.0
2019-07-09,10700,,10916.0
2019-07-10,10675,,10946.0
2019-07-11,10726,,10914.0
2019-07-12,10709,,10973.0
2019-07-16,10658,,10968.0
2019-07-17,10648,,10967.0
2019-07-18,10424,,10847.0
2019-07-19,10624,,10858.0
2019-07-22,10574,,10833.0
2019-07-23,10658,,10872.0
2019-07-24,10701,,10962.0
2019-07-25,10720,,11015.0
2019-07-26,10676,,11010.0
2019-07-29,10656,,11060.0
2019-07-30,10705,,11088.0
